Key,Name,Disaster,Date,Cost,Deaths
243,"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-12-31,3225,0
244,Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-08,2807.2,2
245,Southeast Freeze (March 2017),Freeze,2017-03-16,1290,0
246,South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-28,3476.6,0
247,Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-06,1249.3,1
248,South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-22,1143,0
249,Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-05-07,2140.3,20
250,Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-11,4288,0
251,North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-18,1204.5,1
252,"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-12-31,23046.4,54
253,Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-11,3008,0
254,Midwest Severe Weather (June 2017),Severe Storm,2017-06-16,1931.5,0
255,Midwest Severe Weather (June 2017),Severe Storm,2017-06-29,1824,0
256,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-31,158750,89
257,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-12,63500,97
258,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-21,114300,2981
259,Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-05,1324.6,22
260,Northeast Winter Storm (March 2018),Winter Storm,2018-03-03,2764.5,9
261,Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-21,1829.5,0
262,Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-16,1647.8,3
263,Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-04,1737.9,0
264,Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-15,1712.9,5
265,Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-12-30,3797.4,0
266,"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-12-31,30000,106
267,Texas Hail Storm (June 2018),Severe Storm,2018-06-06,1625,0
268,Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,1193.8,0
269,Colorado Hail Storm (June 2018),Severe Storm,2018-06-19,2778.8,0
270,Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-22,1981.6,0
271,Mountain West Severe Weather (July 2018),Severe Storm,2018-07-29,1063.8,0
272,Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-07,1281.4,0
273,Hurricane Florence (September 2018),Tropical Cyclone,2018-09-16,29760,53
274,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-11,30969,49
275,"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-25,1534.3,2
276,Missouri River and North Central Flooding (March 2019),Flooding,2019-03-31,13408.9,3
277,"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-07-31,7649.6,4
278,Texas Hail Storm (March 2019),Severe Storm,2019-03-24,1903.4,0
279,Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-14,1540,7
